Response Time,Concurrency (WC1)
57.972097,1
169.269463,2
35.501318,3
45.140457,4
334.482149,5
130.630578,6
318.808462,7
135.876312,8
286.421746,9
54.098025,10
317.430154,11
331.645953,12
262.935705,13
336.127557,14
346.218437,15
160.18272,16
362.035329,17
351.309782,18
369.081771,19
365.0355,19
325.506374,20
212.697423,20
142.783336,19
307.864745,20
289.035932,21
277.477012,22
315.624995,23
282.604977,24
213.736263,25
280.58729,26
274.7378,25
182.450984,24
246.36567,24
197.297688,23
166.686316,23
161.991951,22
115.336687,17
78.373239,7
21.540771,1
33.099257,1
68.072649,2
34.630651,2
77.316509,1
24.215728,2
54.611544,2
44.332279,3
52.719108,3
66.182615,2
22.259475,2
22.328537,2
68.732111,1
111.650003,2
27.1812,3
65.272164,2
56.076985,3
79.295247,4
31.617759,5
25.603459,6
42.885052,1
25.339589,2
71.958176,1
22.273993,2
22.324419,2
21.625695,1
27.709628,2
76.842972,1
35.635194,2
51.076807,3
21.941538,3
17.58056,3
25.744881,1
62.808762,1
32.400453,2
72.289589,2
34.335558,2
70.371679,3
32.347659,2
39.735367,1
62.704557,2
46.957122,3
30.933051,1
19.268596,1
19.139187,1
39.357083,1
26.663041,2
26.018085,1
17.497047,2
31.923136,3
66.86163,2
51.030332,2
79.564279,1
25.641129,2
28.326659,1
20.843996,2
18.311423,1
109.135043,1
77.315436,2
98.591008,3
45.478036,4
20.414717,3
65.558118,1
27.176845,2
66.138568,2
19.554136,2
29.404313,3
85.649183,1
27.750904,2
17.868888,3
27.16712,2
16.876657,1
23.821373,1
18.663338,1
42.659578,1
23.902465,2
58.015041,1
37.073893,2
44.36371,1
30.064558,2
21.28024,2
31.466689,1
21.651659,1
22.869754,1
55.097149,2
58.538127,2
21.940784,2
19.648409,1
19.9159,1
78.073333,1
16.93875,2
19.987041,2
49.137647,2
33.792993,2
27.019713,1
20.357659,2
30.630102,1
30.502201,1
18.85233,2
83.698376,3
30.602221,2
50.070278,3
70.372238,2
26.702156,2
20.007517,1
18.195552,1
44.814706,1
80.532488,2
72.986587,2
70.545816,3
29.124207,4
37.862538,5
83.363083,1
19.747221,2
28.29083,2
47.778269,3
68.914906,1
29.049114,2
22.589927,1
19.045401,2
36.284062,2
28.998216,1
25.585384,2
72.2878,1
65.167689,2
111.603024,2
77.659693,2
52.84739,3
37.150664,4
38.210264,1
22.181805,2
17.331211,2
17.786567,1
51.553773,1
17.677367,2
67.131797,2
41.819139,2
74.226708,1
48.428717,2
67.398643,3
91.193794,4
32.843713,3
18.03392,2
38.393764,1
76.381479,2
37.725725,2
17.898749,3
54.782932,1
40.01008,2
18.2047,1
64.332442,1
88.950468,2
23.360877,2
83.880513,3
41.761322,2
47.077418,3
26.909129,3
77.116406,1
69.117706,2
38.551641,3
33.109286,2
23.129791,1
28.141986,1
75.670774,1
61.641266,2
28.401796,3
38.698361,4
105.358803,2
18.097514,2
22.873659,2
69.098832,2
105.942924,2
62.906909,2
42.34179,3
25.057007,3
53.868763,2
42.983922,2
62.063232,2
44.124779,2
24.400525,2
18.641618,1
48.071617,1
23.215271,2
65.196272,1
41.169123,2
19.208035,2
21.215556,1
66.9592,1
17.088601,2
27.641919,3
33.457229,1
34.696346,2
36.922396,2
56.955161,2
35.397211,2
19.01497,1
58.343321,1
78.928651,2
28.714997,2
57.407826,2
36.33317,2
29.992694,1
33.982341,1
43.590661,2
63.232778,1
39.125209,2
63.674283,2
82.187073,2
42.462969,2
44.692556,3
16.749003,2
26.339198,1
29.088712,1
49.349314,2
22.747642,2
20.792825,1
17.018638,1
114.377254,1
123.326013,2
