Response Time,Concurrency (WC1)
13.218753,1
13.038817,2
8.080448,1
34.748199,1
29.32417,2
18.370273,2
30.675471,3
40.83986,2
73.405331,1
34.208859,2
35.511262,3
50.869712,4
54.390205,5
114.220418,3
62.148501,4
69.299776,4
103.831067,4
118.668769,5
127.568228,6
162.368627,7
122.909663,4
117.22007,4
109.324603,4
137.217705,5
114.340803,6
121.598388,6
114.564049,7
108.987984,8
139.826228,9
132.738217,9
116.300644,9
141.953097,8
181.020933,6
146.051877,7
151.694715,8
148.32109,9
150.319662,9
126.594548,10
133.634,10
189.8623,9
162.350111,10
23.080646,11
186.282436,12
167.607171,11
166.196559,12
184.877258,13
148.538261,13
169.603207,11
194.840858,9
185.54235,10
203.866204,11
174.431462,12
188.73607,11
181.438033,12
179.397066,13
152.664669,14
12.617925,14
152.498953,13
164.968706,12
155.526416,12
199.967415,12
234.880959,11
201.601235,10
293.151914,9
318.362953,10
16.197616,8
316.28819,8
304.978735,8
321.779714,9
319.759252,10
375.581777,11
394.765822,11
369.739417,12
353.302553,12
372.772266,13
364.024401,14
350.104946,13
350.190742,14
332.606395,15
331.214451,16
290.543441,17
270.388262,17
244.208626,17
315.592004,16
344.888697,15
337.593382,16
330.177503,17
366.09285,18
363.164619,19
356.957354,20
355.521222,20
387.737488,21
410.181254,22
36.603228,22
394.705941,22
399.028477,22
390.511623,21
356.799815,16
372.076147,17
398.698929,16
373.859512,17
321.054993,17
355.371841,18
335.34184,19
326.95415,20
360.326515,19
336.930724,19
334.99988,20
350.066002,20
382.778843,19
366.919662,20
379.960063,20
375.950192,21
341.965585,19
327.449391,19
314.570196,18
422.33843,18
318.414881,19
338.954082,19
353.390225,18
409.162745,13
385.473512,13
350.677918,12
404.575005,12
386.152329,9
412.392046,10
387.797021,10
397.318961,11
376.065337,12
359.093925,11
353.78677,11
329.766913,12
307.614575,13
292.479971,14
307.813347,15
300.354593,16
332.863564,14
341.004423,15
343.21641,16
312.355899,17
356.796585,18
279.323347,18
280.280305,18
267.674794,19
273.895699,20
290.700733,21
292.56636,21
262.50591,17
263.391314,17
294.80816,14
285.14588,15
273.455742,15
276.952431,14
285.32888,11
279.414213,11
271.879437,11
314.075927,11
299.71576,11
288.171232,12
284.235844,13
258.167565,12
231.6704,13
227.17385,14
224.934805,12
206.342386,12
194.217858,13
253.782462,14
225.521781,12
211.572785,13
231.992523,14
184.093435,11
180.313648,10
203.251019,8
217.006681,9
176.081895,9
188.817459,7
184.587382,7
189.441062,7
157.368766,7
140.688488,8
142.0033,9
112.417758,8
134.980095,8
184.376222,9
176.69524,10
179.399809,10
157.667931,8
146.139822,8
153.131232,7
166.135567,8
133.572091,8
205.173806,9
161.249048,9
193.539376,8
166.679752,4
172.485151,5
191.491965,6
196.192339,7
201.01923,8
177.234452,9
118.902542,7
132.653522,7
83.332344,7
73.705857,6
93.029691,6
100.145569,5
185.929749,2
127.639346,3
166.860625,4
153.314792,4
136.774891,5
135.821509,6
79.920552,7
74.407443,7
63.369343,8
88.642471,9
65.9239,8
97.209457,9
201.989781,2
206.042838,3
209.785261,4
217.840442,5
155.492292,5
107.304188,6
124.416064,7
118.536139,8
99.397291,9
127.848238,10
129.834934,7
117.839893,8
123.479489,4
171.685736,5
129.968951,4
128.119475,4
108.548631,4
103.58268,5
104.414173,6
113.672696,7
104.04918,8
121.816206,8
74.581882,7
87.417335,5
61.2356,2
60.299463,3
75.277707,3
96.769453,4
52.690633,5
27.818235,4
83.718739,5
98.054156,2
31.704508,3
65.875422,3
44.753768,3
41.89738,3
54.300479,4
25.21528,5
37.198213,6
66.24828,3
94.935973,2
92.029447,3
81.797515,4
50.148912,4
94.955756,2
63.329914,2
61.097131,3
47.648116,3
58.206584,4
62.38754,2
39.900401,2
60.578835,3
33.839126,4
39.151598,4
43.857541,5
12.550082,1
24.164961,1
17.107094,2
4.065129,3
8.052916,1
3.160875,1
46.29676,1
5.982304,2
5.651454,3
41.526496,1
18.987708,2
8.20895,2
6.043594,1
34.836085,2
15.146691,2
56.784886,1
21.671154,2
51.571906,2
46.93731,1
2.013226,2
10.248088,1
29.52282,1
6.389726,1
5.788567,1
27.709548,1
4.036911,2
7.946247,1
25.267458,1
56.696083,2
22.968953,2
30.828418,3
11.403332,1
46.967532,2
9.141149,2
20.536925,1
11.101396,2
11.748915,3
68.004096,1
42.520887,2
5.768195,1
48.064927,1
73.930781,2
64.193861,3
51.061219,4
54.65658,5
57.02527,6
97.66428,2
30.563235,2
33.865385,3
19.070507,2
9.470015,3
6.044746,1
24.360705,2
14.894688,1
17.523918,2
4.613525,1
47.904245,1
6.983175,2
23.325282,2
28.270995,1
25.650656,2
3.872825,1
18.577265,1
10.704923,2
9.22387,3
29.834704,1
16.199331,1
3.928214,2
9.528767,1
2.229704,1
26.052081,1
3.798019,1
13.591469,2
9.520641,2
46.006721,1
44.94562,2
17.900092,2
28.824884,1
23.202778,2
66.333477,1
27.789225,2
10.922427,3
36.896122,1
3.467255,2
19.401509,1
6.37491,2
10.123411,3
11.550389,1
3.934846,1
7.55589,1
13.408473,1
4.531038,1
7.69912,2
10.237591,1
28.528521,1
13.801585,1
4.251388,1
1.323777,1
32.795668,1
42.247867,1
31.938165,2
37.734435,3
18.413343,4
42.092251,1
8.667834,1
12.301745,2
35.927809,2
27.022823,3
15.896059,1
6.766088,1
24.827788,1
8.863802,1
5.860255,2
59.70293,1
121.751866,2
72.604044,3
51.790781,3
65.91797,4
41.88979,5
59.210045,5
16.031483,1
16.681386,1
27.812251,2
20.025643,3
45.72854,4
43.922319,4
34.15936,5
4.879516,1
135.202291,1
62.278639,2
83.315211,3
65.627673,4
39.617118,5
62.534003,5
39.776991,5
52.558824,4
91.671641,2
72.83073,2
59.135575,3
10.266038,3
29.661683,1
29.612217,2
58.490108,3
35.709383,2
53.925266,2
30.789796,2
29.330692,2
24.925373,3
17.21503,1
19.595666,2
31.532334,2
51.376149,1
24.080631,2
0.787424,3
30.165336,1
10.205757,1
4.112702,2
9.798457,1
5.025875,2
34.181926,1
18.919681,2
69.691434,3
75.281459,2
44.908058,2
31.906723,1
49.415533,2
54.048295,3
36.003721,2
17.603597,1
1.445875,1
9.794706,1
37.551671,1
4.405826,1
14.048166,1
39.271013,1
11.587801,2
19.719759,2
47.110816,3
80.585692,3
51.779862,3
44.487261,3
22.973456,3
47.659966,2
4.294642,1
8.803025,1
18.162112,1
16.73022,2
26.532473,3
9.309536,1
9.059808,2
31.974411,1
6.975912,2
27.047167,1
13.240511,2
7.189544,1
24.217777,1
62.11439,2
59.354628,3
43.370197,4
60.130217,4
39.033762,5
52.381545,6
47.696009,2
70.240357,2
127.397975,2
27.054122,3
20.075894,4
2.583716,2
3.438518,1
11.074681,1
33.531203,1
10.872259,2
1.285414,1
9.581702,1
25.920242,1
16.283958,1
54.115454,2
6.676619,3
27.68718,2
11.010244,2
11.279199,1
15.76961,1
29.69847,2
18.080096,2
1.417357,1
29.499516,1
4.35878,2
44.728283,2
6.400378,2
33.114608,1
20.890887,2
6.431006,2
17.435339,1
7.851656,1
37.096494,1
9.568572,2
22.347446,1
5.24764,2
5.244885,1
29.531021,1
26.070466,1
40.553752,2
14.309804,3
26.51737,3
28.93,4
20.773016,5
49.275301,4
8.152824,1
85.292056,1
10.071035,2
43.083255,2
17.500287,3
24.110329,2
16.981316,1
6.722781,1
27.135111,1
8.319366,2
24.389002,3
0.681014,1
21.341176,1
21.096344,1
8.502888,1
17.946606,1
7.63787,1
7.788432,1
27.888408,1
24.482155,1
30.685652,2
19.787946,2
12.961599,3
67.597894,1
40.788289,2
32.823198,3
94.008949,4
34.716987,5
12.939683,6
66.917171,2
80.288529,3
37.012966,3
62.065259,4
48.993724,5
23.745033,1
44.595945,2
32.856637,1
44.206212,2
11.181514,1
7.936922,1
2.521502,1
1.704546,1
22.408994,1
1.595578,1
20.06487,1
22.385329,2
1.835818,2
2.538113,1
41.274584,1
1.521414,2
2.981854,1
17.390327,1
19.60736,1
1.504894,2
22.853316,1
7.148048,2
1.372415,1
3.7763,1
24.084498,1
2.126325,2
15.839033,1
36.598999,2
44.81093,2
2.901192,1
20.493992,1
6.34267,1
5.634732,2
2.322387,1
6.983315,1
51.034549,1
3.821496,2
10.587234,1
51.721317,1
42.17118,2
50.274081,3
20.310286,4
48.081115,5
24.54329,2
30.905768,1
0.936237,1
4.42628,1
5.067611,1
12.713643,1
14.044889,1
8.190185,2
15.827821,1
56.426848,1
77.797606,2
31.305132,3
21.230876,2
1.459045,1
3.094765,1
34.484284,2
90.639702,1
34.069101,2
35.131386,3
18.635611,4
40.943253,2
56.341559,3
29.75463,3
33.887818,1
42.131679,2
59.469012,2
28.466438,2
7.158488,1
23.255148,1
22.063248,1
22.142196,1
81.436854,2
46.563138,3
29.123651,2
25.362366,1
55.967977,2
8.845237,1
42.010587,1
14.942286,2
24.258282,3
39.631361,3
70.123786,2
47.603902,3
63.791416,4
31.486827,4
13.964746,4
48.98258,1
69.02418,2
7.014071,3
31.194501,2
7.973143,1
0.736794,2
27.247698,1
49.365074,1
12.438169,1
42.776858,1
107.835448,2
