Response Time,Concurrency (WC1)
163.671188,1
136.844946,1
35.793001,1
23.546147,1
87.642032,1
41.931022,2
91.148508,1
110.226732,1
167.319523,1
29.74184,2
9.611068,1
44.047613,1
52.050306,1
68.587315,1
54.300074,1
58.001226,2
38.891012,1
30.236926,1
74.340448,1
93.042128,1
86.374394,1
46.323426,1
30.806124,1
6.181061,1
29.167159,1
48.992855,1
99.822131,1
22.732187,1
153.654398,1
36.177219,1
82.524571,1
132.743996,1
115.252526,1
49.870026,2
109.238353,1
125.857266,1
62.546035,1
108.179146,1
64.951292,2
26.465442,3
13.454006,1
70.846018,1
50.194353,1
64.185897,1
76.387205,1
23.202125,1
46.192966,1
20.539771,1
132.628772,1
100.907388,2
127.939101,1
96.317627,1
41.488255,1
37.677581,2
14.262134,1
135.918346,1
74.281493,2
57.192511,2
44.903733,1
141.902061,1
218.808985,2
126.957163,2
114.651812,1
70.844387,2
168.141913,3
109.635292,2
107.805157,1
7.201002,1
34.090658,1
32.93656,1
25.409656,1
111.34859,1
50.278527,2
18.468954,1
100.86188,1
20.090258,1
126.955297,1
209.271489,1
24.027848,2
60.663613,1
41.370863,1
99.499268,1
57.798568,2
25.410546,1
157.9224,1
90.185987,2
63.83301,2
72.488363,2
56.300432,1
88.678557,1
66.268209,1
36.350629,1
22.221145,1
39.525839,1
48.58314,1
70.037497,1
46.408043,2
135.49241,1
45.119924,2
63.794059,1
25.460019,1
50.582799,1
137.728022,1
62.769175,2
41.391979,1
34.056389,1
28.581956,1
80.992568,1
135.801256,2
61.289636,2
68.352183,1
57.569436,2
100.828108,3
130.005029,1
50.234923,2
75.03328,2
75.128539,1
37.694681,1
29.394889,1
9.997208,1
26.506707,2
79.379761,1
7.583748,2
120.97761,1
42.287217,2
74.913882,1
82.70019,1
60.078814,2
94.365044,1
46.545189,2
119.424233,3
61.223882,2
143.178064,1
39.273783,2
86.280325,2
27.715088,1
77.753127,2
79.938576,3
93.937838,1
65.459301,2
84.908334,1
101.416153,2
147.018578,3
189.699346,3
103.674929,3
117.629149,1
22.695472,2
29.386534,1
45.344298,1
29.614969,1
41.24536,1
30.010047,2
60.676414,1
141.048894,1
64.731358,2
23.30588,3
91.808645,1
125.750926,2
55.739606,2
95.919316,1
12.543506,2
23.518057,1
57.362244,1
94.467563,1
44.683346,2
97.288709,1
63.328546,2
25.032334,1
83.971353,1
64.113399,1
30.192315,2
89.215062,1
147.972619,2
49.912242,3
94.011535,3
135.14991,2
117.032228,2
36.135634,3
48.395375,1
139.61239,1
15.6414,2
124.02361,2
46.23714,1
94.827693,1
106.917223,2
96.898818,3
98.434161,3
127.318865,3
21.433055,2
50.611449,1
81.120858,1
41.777604,2
26.318706,1
22.457131,1
54.131582,1
178.452956,1
91.471046,2
88.768764,3
60.318646,1
37.777871,2
72.899551,1
94.438041,2
11.426644,2
29.864128,1
25.478394,1
32.017423,1
173.578788,1
27.377658,2
94.178049,2
41.180542,3
36.283562,4
58.190668,1
84.228173,2
77.368089,2
16.501353,1
105.351347,1
41.026338,2
85.850024,2
91.132319,1
146.204821,2
39.125812,2
91.351923,3
114.78137,2
176.687763,3
79.681316,2
102.830205,3
36.323386,4
66.674519,1
117.367312,2
14.113221,2
48.202461,1
47.163946,2
114.170371,1
44.958149,2
29.65105,1
50.732531,1
73.365874,2
340.55978,2
104.203286,2
62.78621,3
78.16444,2
72.124626,3
99.891848,3
27.446453,3
38.951374,2
117.535293,1
39.630054,2
28.283948,3
48.456488,1
50.322779,1
58.30918,1
51.267232,2
86.720265,1
32.473225,2
59.886424,2
56.206035,2
57.79827,2
59.297224,1
148.091319,2
40.971412,2
98.218792,3
112.193502,2
76.963434,3
71.265389,3
36.680186,3
194.059879,2
70.996033,2
106.842149,3
86.943578,4
82.836539,3
38.778624,2
66.449933,3
27.871109,1
72.829435,1
90.866655,1
168.672916,2
109.785201,3
97.695308,4
78.053819,4
76.467601,2
63.291875,2
33.952211,3
108.419362,3
54.942567,3
44.840801,4
24.42837,1
47.132659,1
88.418696,1
63.024317,2
94.830039,3
59.006905,2
50.26835,1
35.522014,1
37.82868,1
64.37991,1
90.311647,2
108.395579,2
171.008908,2
66.965403,3
26.51252,3
200.505448,2
42.612769,2
105.387674,2
65.173598,3
108.333523,2
44.780278,2
106.629981,3
67.00451,3
37.17267,3
170.760983,1
117.853896,2
107.037929,3
79.410953,3
26.865132,3
53.826399,2
28.258237,1
27.255054,1
73.973103,1
100.673329,2
88.485164,3
107.521635,3
113.310422,2
110.668328,3
56.536993,4
124.486863,3
83.588567,2
38.987083,3
35.551,1
32.592441,2
95.18143,1
184.58215,2
179.378125,2
99.838302,3
114.910435,4
24.914094,4
158.273499,2
61.332056,2
69.378003,3
74.687397,1
69.789507,2
42.752335,3
82.803607,3
80.046943,2
101.389181,2
110.740866,2
37.30573,3
74.869486,2
141.476391,2
45.091733,2
39.391456,2
69.344215,3
64.207292,2
78.759581,2
60.068473,2
54.062392,3
121.236505,2
93.668652,3
56.782633,3
103.093401,3
47.825045,3
43.722309,2
27.217408,2
56.384678,1
73.83168,2
25.470329,2
30.654972,1
41.235718,1
54.580934,1
32.192271,1
23.326896,1
41.20839,1
48.728928,2
37.910077,2
88.797595,1
156.269609,2
36.889965,3
121.625433,3
140.79781,3
140.957925,4
231.080221,5
103.357019,6
64.175789,5
83.314205,6
32.64785,4
27.231542,2
149.749788,2
92.555441,2
116.282814,3
31.521243,4
35.746218,2
56.295842,1
107.484141,2
19.019538,2
45.086181,2
40.935409,1
40.208686,2
87.177687,1
111.246743,2
133.323661,2
78.679956,3
80.248788,4
53.857046,4
31.751288,2
82.080274,2
40.275352,2
118.613906,3
185.403653,2
63.135018,2
128.350608,3
39.624965,3
148.159712,4
88.528091,3
83.096522,4
82.272209,4
43.838631,2
30.264209,1
49.854596,1
24.86237,2
