Response Time,Concurrency (WC1)
19.489606,1
4.368465,1
14.089128,1
4.634959,1
1.1446,1
8.128081,1
4.476673,1
3.314479,1
7.12457,1
18.1964,1
3.032427,1
3.76496,1
11.8305,1
1.18989,1
7.387615,1
14.748791,1
4.650199,1
2.222791,1
26.161627,1
2.20601,1
34.488266,1
17.552146,1
1.166674,1
2.61856,1
5.572236,1
3.032327,1
34.604187,1
6.047255,1
19.26643,1
9.808694,1
25.921371,1
13.298511,1
27.949656,1
10.770161,1
17.798101,1
1.353271,1
12.133066,1
8.656698,1
15.394848,1
17.210118,2
1.145632,1
30.381308,1
7.389749,1
28.329552,1
23.32669,1
1.900654,1
23.24402,1
1.494378,1
6.834319,1
52.620134,1
55.475649,1
26.531456,1
24.134663,1
9.529522,2
6.851229,1
47.918345,1
12.906469,1
26.180976,1
9.946259,1
61.291679,1
28.075515,1
22.849496,1
8.972858,1
9.681706,1
7.03478,1
5.533294,1
58.457548,1
2.161936,1
27.241001,1
19.131178,1
5.403211,1
1.895947,1
14.999046,1
1.877945,1
6.673374,1
11.66435,1
27.077884,1
11.576376,1
11.645635,2
8.90341,1
19.09083,1
12.793442,1
27.494536,1
7.324108,1
23.978982,1
5.147252,1
16.784863,1
2.231639,1
8.711599,1
24.401975,1
2.041766,1
20.809303,1
0.915809,1
7.905212,1
23.796022,1
41.498085,1
12.919789,1
2.989222,1
17.908408,1
40.290693,1
5.713208,1
2.521312,1
3.805783,1
9.971085,1
8.152022,1
0.842896,1
9.840069,1
21.938738,1
15.345022,1
7.094082,2
4.578647,1
1.417823,1
16.90636,1
13.590515,1
2.046635,1
14.067843,1
4.462613,1
5.603214,1
16.157054,1
3.142432,1
3.634686,1
27.772758,1
1.035159,2
15.522853,1
42.797068,1
16.728157,1
4.310435,1
15.807994,1
7.859531,1
1.3035,2
3.074126,1
9.534949,1
8.092623,1
11.848179,1
9.587942,1
2.128383,1
22.785683,1
11.12675,2
10.306679,1
52.502364,1
16.52203,1
15.25442,1
19.322559,1
16.860833,2
34.403209,1
0.921929,1
45.449721,1
7.518126,1
9.551614,1
7.394831,1
15.113495,1
11.553301,2
25.103465,1
9.838027,1
4.370947,2
9.688244,1
3.890904,1
18.147962,1
23.091748,1
6.98565,1
1.651989,1
13.678668,1
17.731117,1
17.38427,1
16.13628,1
15.513994,1
11.192036,1
0.823126,1
2.83113,1
2.957885,1
5.356509,1
20.4248,1
10.45687,1
18.748721,1
1.075005,1
8.621237,1
12.095747,1
21.574389,2
8.906199,1
8.668747,1
36.142625,1
15.578533,1
0.909688,1
17.446585,1
16.781856,1
42.093622,2
6.212655,1
4.577303,1
6.924939,1
13.821892,1
22.440507,1
6.068258,1
6.667409,1
14.463473,1
12.109167,1
36.61518,1
22.167762,1
23.401605,2
19.047791,1
30.131286,1
1.720438,1
39.987362,1
1.02088,1
9.589157,1
19.812071,1
5.975236,1
19.636391,1
8.016066,1
3.704088,1
10.772713,1
16.160985,2
12.846195,1
8.026752,1
15.272379,1
2.229242,1
54.997972,1
2.06901,2
11.531144,2
24.962143,1
62.611962,1
6.693954,2
48.956163,1
11.570302,1
20.246447,1
31.308473,1
66.259998,2
4.009789,2
20.401757,1
43.926466,1
4.727519,2
3.233874,1
0.975927,1
21.339538,1
2.216878,1
10.495225,1
4.190418,1
45.345336,1
10.733596,1
68.968633,1
18.126907,2
33.736249,1
10.986292,1
34.553461,1
14.623773,1
14.224257,1
4.959322,1
25.978542,1
1.324594,1
31.412754,1
39.920699,1
21.70138,1
21.594979,2
1.295475,1
19.241672,1
6.725008,1
14.566554,1
15.74662,1
15.648553,1
56.643995,1
3.041115,2
27.2648,1
5.578693,1
48.876159,1
46.413386,1
20.840035,2
64.505558,1
14.017436,1
56.67872,1
47.460282,2
9.187166,1
4.882871,1
24.051493,1
9.238337,1
38.255921,1
9.81398,1
38.138277,1
26.812418,2
19.554092,3
0.828279,1
20.367875,1
1.370048,1
1.679702,2
17.896899,1
18.211847,2
4.621811,3
1.045681,1
24.201362,1
19.099241,1
6.701645,1
29.597916,1
15.750844,2
29.323592,1
2.62434,1
1.297772,1
7.357202,1
17.151376,1
31.012493,1
29.433467,1
5.924594,1
27.981652,1
19.55682,1
39.705764,1
6.792379,2
5.926951,1
13.795753,1
6.72168,1
33.490043,1
29.725,1
16.608486,2
35.313695,1
49.706132,2
49.252613,2
0.828043,1
1.986415,1
37.631954,1
10.862723,1
4.542706,1
17.07526,1
3.285719,2
33.450105,1
52.372677,1
32.535158,2
16.801327,1
13.393194,2
42.533734,1
3.160565,2
29.264498,2
26.725316,1
9.100125,1
57.989526,1
30.060101,1
31.679434,1
45.154444,2
31.752794,2
7.065777,2
37.419659,1
5.50213,2
6.495789,1
38.565771,1
20.00654,2
6.955367,1
19.376356,1
22.504245,1
44.673536,1
30.80108,1
12.136871,2
17.104853,1
74.949811,1
2.814089,2
9.861994,1
4.373199,1
14.8402,1
13.067044,1
11.512788,2
37.183173,1
1.771319,1
0.711359,1
18.03729,1
24.140786,1
14.134187,2
17.734026,1
0.610257,2
5.921229,1
8.678713,1
10.819583,1
14.863921,1
15.485055,1
6.357991,1
3.460804,1
9.378251,1
23.55143,1
1.402691,1
7.531488,1
46.541884,1
18.462305,2
4.286653,2
29.755247,1
65.586316,2
63.372015,3
77.127622,3
16.494966,1
16.955996,2
3.944615,1
20.676036,1
9.816359,2
13.087597,1
5.787888,1
7.810447,1
18.181106,1
10.605654,2
4.206291,1
5.112671,2
8.301294,1
15.516058,1
14.829624,1
5.19656,1
58.169054,1
13.622363,1
14.198725,1
25.051437,1
39.659505,2
31.397975,2
3.536142,1
2.411208,1
8.588642,1
37.078795,1
55.784436,1
2.246109,2
11.368532,1
45.889764,2
31.400236,2
72.423168,2
71.678687,3
2.671006,1
1.329636,1
12.121937,1
23.503855,1
15.609741,2
7.727086,1
27.248797,1
12.830247,2
20.912692,1
6.282285,2
37.996949,1
1.437513,2
18.642138,1
1.837974,1
60.226489,1
10.813166,1
1.771746,1
9.550643,1
9.695203,1
9.920764,2
15.306484,1
10.841782,1
11.901816,1
4.333744,1
31.782554,1
10.839198,2
16.72602,1
1.261936,1
24.112607,1
4.074685,1
63.325805,1
12.731602,2
28.237221,2
48.590015,3
108.202445,1
83.053978,2
40.351479,3
23.861376,4
16.864928,5
19.87074,1
25.089237,1
38.444752,1
3.559536,2
25.169641,1
15.694812,2
1.80983,1
1.961518,2
26.035657,1
10.22565,2
12.910642,1
11.936801,1
19.788364,1
30.55997,1
31.440842,2
29.311949,3
8.540883,1
2.329519,1
6.804635,1
49.738918,1
16.161161,1
42.197383,2
10.008525,1
24.925327,1
25.015906,2
20.958176,1
33.046588,2
23.76105,3
11.982549,1
21.594646,1
11.724531,1
31.561965,1
8.118997,2
5.761157,1
23.458645,2
10.889671,2
0.980993,1
6.547382,1
4.660078,2
39.060581,3
16.904996,2
17.259387,2
4.689347,1
3.335347,1
18.123792,1
32.225657,1
15.102777,2
9.81546,1
23.698686,1
33.101857,1
42.100994,2
19.391315,3
4.603604,1
4.065982,1
44.462094,1
6.540754,2
44.643939,2
8.057982,1
1.159424,2
25.858699,3
9.910606,1
19.605621,2
9.565357,1
8.210288,1
15.390752,1
8.195999,2
4.096666,1
21.141606,1
0.557509,2
4.518347,1
0.545268,1
4.459661,1
5.899475,1
27.355863,1
27.324996,2
6.025679,1
35.108066,1
5.123247,2
31.151831,1
4.215323,1
12.359497,1
0.571011,1
19.469308,1
17.709616,2
15.196943,1
18.564661,1
23.419139,1
50.133861,2
16.96205,3
56.336741,4
64.590938,4
73.711122,5
51.217111,4
93.075832,1
68.936045,2
50.858152,3
11.988676,2
10.605766,1
26.992704,1
2.379426,2
40.705503,1
16.287538,2
26.429051,2
25.432435,2
27.065412,1
20.506027,1
1.516292,1
11.527035,1
30.843403,2
11.652191,2
9.893083,1
9.870113,1
2.486127,1
49.008066,1
14.015013,1
3.471978,1
13.138089,1
6.753883,1
28.817014,1
14.224974,2
15.577694,1
8.060698,1
5.956235,1
16.177151,1
2.45696,1
9.431106,1
5.349846,1
8.81569,1
14.142499,1
38.799547,2
20.950177,3
28.955993,2
37.104532,2
31.174426,1
12.549624,1
32.410949,1
1.936367,2
16.846591,1
18.258914,1
2.284986,2
7.788216,1
4.17008,1
6.979105,1
16.383878,1
4.638662,1
2.472598,1
15.511998,1
8.166962,1
1.433406,1
27.190551,1
52.177737,2
9.525366,2
33.917377,2
25.016557,1
21.882544,1
15.349709,2
8.898995,3
31.429737,1
19.43085,2
61.278551,1
10.633132,2
30.253766,2
51.059243,3
30.627433,4
58.711572,2
56.055733,2
14.486347,3
0.85091,1
6.57089,1
5.909687,1
7.078094,1
2.463803,1
0.756095,1
17.591342,1
18.881106,2
12.787424,1
12.106247,1
8.700973,1
12.793277,1
25.128644,1
32.229556,1
7.036524,2
13.323895,3
0.551637,1
82.139658,1
8.266582,2
9.045074,1
7.071664,1
23.612145,1
9.331114,2
5.888023,1
23.642898,1
14.433457,1
17.169061,1
1.877115,2
5.244248,1
35.497274,1
20.963429,1
13.987718,1
17.31213,2
27.296003,2
36.274527,1
19.132079,2
12.282725,2
43.312872,3
6.429383,2
8.163939,1
51.361211,2
14.836618,2
27.366066,3
8.142413,1
3.180353,1
9.769054,1
1.728083,1
15.509884,1
43.171929,2
70.104907,1
47.684662,2
36.086788,1
1.880956,2
12.279585,1
5.480676,2
31.765898,1
27.63733,2
8.390614,1
17.362949,1
18.34191,1
16.167331,2
40.26768,3
46.834772,2
43.882629,3
14.128953,1
44.607282,1
7.487081,2
26.603196,3
18.023704,1
14.719696,2
58.196232,1
45.131826,2
35.867921,1
49.27106,2
55.779799,2
12.962674,1
9.526237,1
41.164471,1
32.964963,2
7.13504,1
33.222499,2
33.622858,2
4.950493,3
22.967454,1
14.020722,1
11.23004,2
22.80728,1
49.365665,2
72.479444,2
88.729553,3
48.04235,2
17.383451,3
15.440824,1
26.001553,1
4.865008,2
21.974385,1
26.929802,2
10.727527,1
63.596629,1
47.577618,2
46.166298,3
33.891476,2
4.925688,1
13.081768,1
12.500761,2
16.638067,1
18.532321,2
17.840847,1
1.479342,2
11.821685,3
12.04941,3
67.124302,1
28.905222,1
44.143393,2
18.208679,2
6.709938,1
24.107231,1
11.137008,2
41.472146,1
3.218258,2
6.945837,1
5.382235,1
44.785315,1
7.236793,2
23.328727,3
34.115215,2
7.300423,1
27.410194,1
19.079122,1
8.785797,2
17.013097,1
38.98418,2
50.243506,3
6.270441,1
9.069297,1
1.744418,1
26.961339,1
23.967341,2
35.524006,2
10.706813,1
35.508871,2
22.186576,1
3.575261,1
17.214297,1
6.199589,2
4.491901,1
10.112344,1
30.233106,1
15.417012,1
10.188535,2
14.904342,1
13.01777,2
32.823448,1
57.894897,2
22.117646,3
25.026909,2
34.743645,2
11.783679,1
1.97719,1
18.712813,1
11.859806,1
16.688105,1
18.12184,2
15.00994,1
72.686689,1
17.203228,2
15.048524,1
32.181718,2
31.449162,2
22.288341,3
26.869952,4
14.217447,4
29.470229,3
1.179555,1
2.078266,1
9.560957,1
13.091253,1
37.924964,1
38.853868,2
19.03307,2
11.723937,2
65.215455,1
9.076593,2
8.563608,2
34.119741,1
35.061627,2
18.996119,3
2.658729,4
85.042365,1
59.767266,2
21.093856,3
39.200554,1
14.192514,1
38.757665,2
7.111442,3
107.341443,2
113.817108,2
121.614888,3
106.211442,4
76.950541,5
64.682372,5
53.704048,5
28.291137,4
83.108259,1
83.235052,2
78.574778,3
52.196936,4
66.995118,4
35.129408,2
43.844237,2
1.695503,1
6.453008,1
46.89873,1
35.13612,2
13.454899,2
30.030865,1
9.799535,2
79.200409,3
18.81957,2
8.424192,1
16.166855,2
38.361293,1
27.579904,2
10.955375,1
22.979531,1
2.2602,2
1.876574,1
2.863439,1
12.095968,1
19.113633,2
21.603615,2
38.126991,2
11.072359,1
13.496805,1
20.191776,1
1.961005,1
3.34285,2
39.990222,1
20.20457,2
5.61766,3
24.790937,1
24.065494,2
24.670323,3
54.76528,1
10.874892,2
14.833087,1
12.03032,1
8.233405,2
41.190907,3
46.826587,2
11.282864,2
58.866097,1
7.129524,1
5.276221,1
8.446562,1
20.79824,2
16.647336,1
19.535973,2
29.316786,3
25.578994,1
76.337583,2
36.4294,3
132.834716,3
70.857258,3
73.097455,4
41.702673,4
35.826635,5
71.367553,2
49.705175,2
79.249991,3
19.778349,4
43.863923,1
58.486429,2
17.393184,1
0.902827,1
14.57708,1
16.913235,1
20.727593,2
23.622436,3
67.545312,2
30.090019,2
2.665042,1
0.900226,2
6.073212,1
12.10943,1
8.364706,1
5.712685,1
10.424764,1
7.16608,1
25.496778,1
9.317702,1
16.720793,1
27.889312,1
23.092005,2
50.63736,1
27.861455,2
7.386213,3
22.574179,4
13.292511,1
19.145212,1
0.775651,2
16.232931,1
31.109663,1
30.933522,2
46.914406,2
6.427311,2
43.09688,1
3.46403,1
42.776072,1
59.404858,2
40.172834,3
52.071766,4
59.735257,4
10.880629,4
10.569459,1
4.265276,1
16.334071,1
3.2864,2
4.971078,1
28.739892,1
12.606864,1
8.038185,1
33.33615,1
3.078431,2
34.97425,2
11.503926,2
95.946323,1
17.167335,2
22.348962,1
13.788174,2
29.68613,1
17.901294,2
50.495284,2
46.479893,2
21.571068,1
19.088931,2
29.720873,1
13.741715,2
1.108792,1
17.677624,1
30.991577,2
16.581292,2
39.833005,3
35.060373,3
35.220622,3
73.9535,4
74.639761,3
76.36069,3
39.747879,2
22.204556,3
30.611375,1
28.817424,2
98.908287,1
79.765157,2
101.49793,3
73.878318,2
91.517289,3
53.872569,3
32.288303,4
23.513554,2
44.561596,1
4.850188,1
19.924045,2
27.571006,3
21.60765,1
20.967287,2
20.695583,1
1.222924,2
30.404681,1
30.075502,2
4.720206,1
3.604096,2
64.820712,1
7.873095,2
10.257766,2
75.357141,1
54.341278,2
15.352182,3
33.34911,2
24.72884,3
19.07302,1
22.511488,1
20.525882,2
47.418991,1
4.715994,2
29.261008,2
16.632453,2
26.346318,1
4.258832,1
19.238675,1
10.619768,1
3.890797,1
13.13291,1
0.888268,2
5.19828,1
33.419269,1
15.816021,2
26.627322,1
24.330915,1
38.681039,2
14.145903,2
7.488573,1
7.728485,2
0.670786,1
3.838239,1
0.74871,1
16.455232,1
1.695093,1
44.411699,1
24.216944,2
30.027724,3
25.268073,2
36.123027,1
3.743091,2
43.611774,2
34.952254,3
29.217311,1
26.337603,2
25.129546,1
27.435268,2
53.309213,3
34.82056,4
24.390236,4
57.511244,4
61.332606,5
52.061426,2
56.527237,3
28.076342,3
59.982162,4
60.726297,2
5.128886,2
12.220042,1
19.039025,2
13.280951,1
3.165274,1
14.821783,1
48.9366,1
34.764375,2
24.62386,1
10.795893,2
30.920351,1
16.900967,1
4.61011,1
2.464561,2
3.612046,1
4.488286,1
1.841703,1
17.537294,1
11.126575,1
33.153907,1
47.306012,1
9.170792,2
27.326516,2
12.045117,1
6.634393,2
12.454643,1
52.656302,1
32.662368,2
35.178914,1
49.928156,2
3.833684,1
6.296726,1
3.624956,1
4.660206,1
5.87184,1
11.876779,1
9.639136,1
85.753574,1
49.909402,2
58.465975,3
51.824589,1
36.85108,2
43.356126,1
20.010204,1
58.423975,2
48.375804,2
56.395324,3
74.092012,4
50.556648,2
86.137013,3
72.157536,3
36.181878,3
40.692644,4
39.102086,1
13.638424,2
9.905986,1
4.715585,1
3.73894,1
0.865839,1
11.794907,1
9.817576,2
15.08759,1
28.601525,1
28.679245,2
17.201922,1
26.192052,2
31.619963,3
0.594902,1
24.22152,2
3.054392,2
11.900046,3
39.65586,1
15.503995,2
23.367305,1
38.495616,2
9.38584,1
47.758552,1
8.887263,2
35.373353,2
10.85572,1
4.954116,1
6.324152,1
48.928957,2
14.103935,2
31.056094,3
12.145113,1
5.157918,1
8.303134,1
7.907627,2
15.000279,1
19.574798,1
7.320759,1
19.544677,1
29.877279,2
49.10888,1
27.453397,2
31.070472,3
10.18215,1
28.436289,2
2.87556,2
3.66963,1
1.907128,1
23.841023,1
15.022831,1
16.066011,1
26.143957,1
37.932236,2
33.136912,3
23.596612,4
59.195151,3
122.803733,2
90.312433,2
119.693986,3
88.613794,4
82.127517,5
106.109165,6
102.412068,7
51.994858,7
55.409106,4
90.881429,2
101.383216,3
76.323432,4
91.295178,5
56.577244,1
45.446281,2
46.10892,3
45.445532,4
36.679562,5
73.720512,2
74.870109,3
57.863868,3
29.275972,4
42.215822,1
53.751251,2
43.739624,3
60.681922,4
53.918766,5
36.103246,5
81.042021,4
86.587932,2
91.931683,3
84.433951,3
53.680632,4
25.809699,5
39.012928,5
41.204817,1
76.742525,2
83.936437,2
31.792233,3
11.220112,2
87.195135,2
46.053343,2
81.501609,3
46.138703,3
8.188257,2
0.750906,1
23.298432,1
5.067107,1
17.551235,2
16.834372,1
11.751186,2
11.741532,1
2.372379,1
38.924999,1
17.425815,1
20.586737,2
5.714027,1
50.949648,2
5.147597,2
14.252693,1
14.143742,2
30.038768,1
13.706982,2
59.366098,1
68.069993,2
25.632106,3
22.667103,3
10.129405,2
26.890063,1
2.145015,1
16.419832,1
29.628258,1
1.777758,2
0.513517,1
