Response Time,Concurrency (WC1)
78.07944,1
91.87317,1
17.059278,1
1.118993,1
5.911991,1
32.577795,1
32.287504,1
87.475119,1
12.914492,1
70.811888,1
4.001669,1
25.251036,1
24.178812,1
54.780111,1
31.989616,1
4.708675,2
6.71697,1
8.457448,1
8.264424,1
57.666064,1
13.131544,1
23.735347,1
22.430845,1
0.57351,1
11.992785,1
18.821612,1
37.361042,1
2.967549,1
39.637267,1
3.820565,1
4.925074,1
116.016442,1
2.003389,1
36.518156,1
45.742939,1
29.466597,1
43.294868,1
87.349746,1
47.074801,1
5.19397,2
1.477089,1
6.825046,1
4.832427,1
12.452539,1
8.727513,1
18.501854,1
20.380574,1
3.876925,1
29.694841,1
6.31342,1
12.529748,1
68.230892,1
14.63737,1
2.854747,2
1.370541,1
19.777908,1
43.93695,1
19.711922,1
14.280174,1
7.850209,1
30.605727,1
8.65035,2
47.860873,1
11.46162,2
10.222319,1
29.393003,1
17.671998,1
3.50882,1
5.905025,1
10.916888,1
17.028302,1
67.321378,1
32.42565,2
9.688972,1
30.381947,1
5.50139,1
66.824044,1
115.24513,1
5.653259,2
17.664534,1
15.162417,1
64.71206,1
19.600865,1
6.621286,1
30.834837,1
2.573959,2
42.777062,1
54.93997,1
15.83735,1
57.797644,1
6.574158,1
2.691305,1
15.769163,1
28.411336,1
24.036479,1
15.121969,1
11.567663,1
119.878202,1
13.851406,2
20.689737,1
17.684408,1
30.496167,1
24.692192,1
13.251736,2
6.480625,1
2.817912,1
14.540053,1
50.888597,1
22.607231,1
8.077114,2
15.818822,1
9.306765,1
30.934783,1
93.301757,1
24.30292,1
12.11335,1
3.527643,1
2.628589,1
1.683542,1
2.971632,1
15.871533,1
4.10259,1
18.770197,1
16.529549,1
33.22657,1
44.972877,1
23.338156,1
4.945533,1
12.220299,1
1.510747,2
26.150569,1
25.242853,1
3.231434,1
6.50403,1
31.182921,1
6.846921,1
22.298015,1
15.966173,2
69.835457,1
6.851078,1
